отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
--------------------------------------------------------------------------------
char0                | 0     | 0.539       | 0.500      | 0.281   | 0.164       
space                | 32    | 0.000       | 0.500      | 0.000   | 0.031       
exclam               | 33    | 0.484       | 0.500      | 0.141   | 0.016       
quotedbl             | 34    | 0.324       | 0.500      | 0.094   | 0.031       
numbersign           | 35    | 0.897       | 0.500      | 0.359   | 0.047       
dollar               | 36    | 0.870       | 0.500      | 0.422   | 0.172       
percent              | 37    | 0.817       | 0.500      | 0.266   | 0.109       
ampersand            | 38    | 0.881       | 0.500      | 0.328   | 0.148       
quotesingle          | 39    | 0.420       | 0.500      | 0.047   | 0.016       
parenleft            | 40    | 0.613       | 0.500      | 0.156   | 0.062       
parenright           | 41    | 0.613       | 0.500      | 0.156   | 0.062       
asterisk             | 42    | 0.616       | 0.500      | 0.164   | 0.086       
plus                 | 43    | 0.538       | 0.500      | 0.109   | 0.047       
comma                | 44    | 0.424       | 0.500      | 0.047   | 0.016       
hyphen               | 45    | 0.431       | 0.500      | 0.055   | 0.008       
period               | 46    | 0.396       | 0.500      | 0.031   | 0.016       
slash                | 47    | 0.645       | 0.500      | 0.156   | 0.109       
zero                 | 48    | 0.877       | 0.500      | 0.375   | 0.008       
one                  | 49    | 0.715       | 0.500      | 0.211   | 0.047       
two                  | 50    | 0.781       | 0.500      | 0.250   | 0.109       
three                | 51    | 0.821       | 0.500      | 0.281   | 0.031       
four                 | 52    | 0.801       | 0.500      | 0.266   | 0.125       
five                 | 53    | 0.801       | 0.500      | 0.266   | 0.055       
six                  | 54    | 0.831       | 0.500      | 0.289   | 0.078       
seven                | 55    | 0.710       | 0.500      | 0.195   | 0.117       
eight                | 56    | 0.891       | 0.500      | 0.336   | 0.016       
nine                 | 57    | 0.831       | 0.500      | 0.289   | 0.062       
colon                | 58    | 0.277       | 0.500      | 0.062   | 0.016       
semicolon            | 59    | 0.348       | 0.500      | 0.078   | 0.016       
less                 | 60    | 0.615       | 0.500      | 0.141   | 0.125       
equal                | 61    | 0.359       | 0.500      | 0.109   | 0.062       
greater              | 62    | 0.615       | 0.500      | 0.141   | 0.125       
question             | 63    | 0.679       | 0.500      | 0.211   | 0.117       
